state	county	name	var2	var12	var95	var100	var123	var126	var130	var133	var144	var178	var180	var182	var185	tractors
1	0	CONNECTICUT	32157	2079933	23774	496	154	40	1621	4090	0	14006	37417	0	0	2667
1	10	FAIRFIELD	4860	214210	3631	47	10	0	89	324	0	1150	3987	0	0	310
1	30	HARTFORD	6172	313454	5326	208	23	12	190	694	0	4986	8637	0	0	718
1	50	LITCHFIELD	4880	448439	4155	66	23	6	990	1063	0	1742	7653	0	0	393
1	70	MIDDLESEX	2570	146881	1388	40	7	0	29	89	0	936	1700	0	0	159
1	90	NEW HAVEN	4407	222680	3059	35	50	19	122	456	0	1374	5643	0	0	488
1	110	NEW LONDON	3550	291767	2452	42	6	0	36	351	0	1663	4106	0	0	272
1	130	TOLLAND	2611	207731	1845	30	9	3	91	309	0	1174	2695	0	0	173
1	150	WINDHAM	3107	234771	1918	28	26	0	74	804	0	981	2996	0	0	154
2	0	MAINE	41907	4721842	51744	289	125	6311	99776	10370	0	3436	9451	0	0	3410
2	10	ANDROSCOGGIN	2062	195530	2115	4	2	2	521	844	0	151	870	0	0	143
2	30	AROOSTOOK	6714	890847	15408	59	81	6084	78756	1421	0	3	66	0	0	1614
2	50	CUMBERLAND	3040	258055	2973	27	2	3	431	418	0	239	690	0	0	191
2	70	FRANKLIN	1717	234232	1975	15	0	1	426	572	0	234	566	0	0	56
2	90	HANCOCK	1864	183780	1202	5	0	5	194	264	0	27	238	0	0	52
2	110	KENNEBEC	3585	349497	3742	22	1	13	2202	1400	0	575	1336	0	0	208
2	130	KNOX	1510	118819	1251	18	0	1	196	114	0	71	129	0	0	41
2	150	LINCOLN	1875	157044	1430	7	8	3	156	151	0	52	138	0	0	39
2	170	OXFORD	2774	358349	3049	20	0	2	496	550	0	554	945	0	0	183
2	190	PENOBSCOT	4566	523579	5735	22	24	123	7117	1536	0	205	1523	0	0	269
2	210	PISCATAQUIS	1240	179812	1575	8	0	7	2672	284	0	85	393	0	0	68
2	230	SAGADAHOC	727	81599	711	8	4	5	455	333	0	47	289	0	0	42
2	250	SOMERSET	2916	391814	3918	24	3	18	3906	1180	0	724	1181	0	0	173
2	270	WALDO	2599	300293	2781	24	0	10	1454	702	0	147	394	0	0	140
2	290	WASHINGTON	2188	256765	1605	8	0	34	711	209	0	2	65	0	0	29
2	310	YORK	2530	241827	2274	18	0	0	83	392	0	320	628	0	0	162
3	0	MASSACHUSETTS	35094	2195714	26770	201	76	21	1906	3728	0	8553	28245	0	0	3921
3	10	BARNSTABLE	1123	42002	270	4	1	0	1	8	0	128	153	0	0	68
3	30	BERKSHIRE	2527	323511	2838	21	50	20	1463	748	0	887	3516	0	0	262
3	50	BRISTOL	3408	146301	2476	22	1	0	75	302	0	283	4870	0	0	482
3	70	DUKES	118	11968	80	0	0	0	3	30	0	26	20	0	0	9
3	90	ESSEX	3040	130244	2228	14	1	0	9	132	0	166	1340	0	0	316
3	110	FRANKLIN	2679	254461	2720	9	0	0	34	86	0	2227	2562	0	0	198
3	130	HAMPDEN	2343	166266	1771	28	5	0	94	441	0	1149	2253	0	0	292
3	150	HAMPSHIRE	2753	201338	2755	7	1	0	42	393	0	2741	3232	0	0	279
3	170	MIDDLESEX	4862	223432	3205	31	9	0	9	269	0	286	1986	0	0	738
3	190	NANTUCKET	33	6564	38	0	0	0	0	0	0	18	43	0	0	6
3	210	NORFOLK	1721	68493	1360	12	4	0	22	97	0	48	1120	0	0	208
3	230	PLYMOUTH	3965	151147	1336	4	0	0	12	167	0	96	1345	0	0	288
3	250	SUFFOLK	58	861	63	0	0	0	0	5	0	0	27	0	0	1
3	270	WORCESTER	6464	469126	5630	49	4	1	142	1050	0	498	5778	0	0	774
4	0	NEW HAMPSHIRE	17695	2115548	18358	112	0	9	2878	4441	0	4088	11747	0	0	1096
4	10	BELKNAP	1083	136514	1097	14	0	0	108	327	0	207	629			55
4	30	CARROLL	1078	126625	957	13	0	0	28	141	0	170	193	0	0	60
4	50	CHESHIRE	1432	169091	1465	18	0	1	164	266	0	700	1033	0	0	86
4	70	COOS	1289	217271	2303	4	0	0	1110	1134	0	16	369	0	0	69
4	90	GRAFTON	2504	390404	3376	9	0	4	938	863	0	837	2688	0	0	146
4	110	HILLSBOROUGH	2589	256724	2263	23	0	0	45	344	0	285	2113	0	0	196
4	130	MERRIMACK	2471	298627	2309	13	0	4	182	562	0	554	1668	0	0	126
4	150	ROCKINGHAM	2740	219900	2053	9	0	0	27	323	0	468	1522	0	0	214
4	170	STRAFFORD	1176	122420	1111	1	0	0	38	28	0	244	480	0	0	81
4	190	SULLIVAN	1333	177972	1424	8	0	0	238	453	0	607	1052	0	0	63
5	0	RHODE ISLAND	4327	307725	3290	52	54	0	282	746	0	2287	4977	0	0	589
5	10	BRISTOL	193	7179	177	0	22	0	10	0	0	6	533	0	0	32
5	30	KENT	755	51661	450	10	0	0	1	21	0	90	704	0	0	79
5	50	NEWPORT	868	42507	934	12	21	0	203	323	0	785	1246	0	0	138
5	70	PROVIDENCE	1492	99443	1042	19	11	0	8	198	0	499	1715	0	0	210
5	90	WASHINGTON	1019	106935	687	11	0	0	60	204	0	907	779	0	0	130
6	0	VERMONT	27061	4042658	46196	343	114	379	37372	15231	0	13108	65318	0	0	2426
6	10	ADDISON	2207	370534	4649	43	19	141	7749	2046	0	1391	10464	0	0	504
6	30	BENNINGTON	1266	184457	1904	26	6	2	1452	419	0	1192	1886	0	0	127
6	50	CALEDONIA	2229	320807	3792	18	5	29	1889	693	0	121	3171	0	0	73
6	70	CHITTENDEN	1935	278920	3650	32	4	12	4412	2018	0	1408	9444	0	0	316
6	90	ESSEX	658	112626	1060	11	0	5	463	542	0	26	397	0	0	43
6	110	FRANKLIN	2333	363830	4821	21	31	62	7121	1874	0	730	7832	0	0	189
6	130	GRAND ISLE	476	47562	1034	1	0	43	2307	555	0	343	2335	0	0	125
6	150	LAMOILLE	1316	178568	2261	15	0	2	490	551	0	312	2713	0	0	69
6	170	ORANGE	2441	373875	3890	42	2	12	1528	237	0	1272	3976	0	0	133
6	190	ORLEANS	2390	356917	4519	31	31	17	5232	2074	0	69	3908	0	0	101
6	210	RUTLAND	2479	389439	4104	29	1	17	2059	1907	0	2050	7490	0	0	313
6	230	WASHINGTON	2143	301364	3614	33	4	27	1148	1169	0	937	4009	0	0	140
6	250	WINDHAM	1914	298803	2392	14	3	2	243	435	0	1249	2270	0	0	126
6	270	WINDSOR	3274	464956	4506	27	8	8	1279	711	0	2008	5423	0	0	167
11	0	DELAWARE	10381	921251	14084	9897	80241	0	2009	627	0	136052	2731	0	0	1600
11	10	KENT	2871	293682	5220	2430	36340	0	418	245	0	39382	680	0	0	594
11	30	NEW CASTLE	1839	206854	5438	567	29696	0	1438	198	0	22954	1427	0	0	447
11	50	SUSSEX	5671	420715	3426	6900	14205	0	153	184	0	73716	624	0	0	559
12	0	NEW JERSEY	29375	1914110	38990	4164	51383	0	42205	5183	0	152117	32998	0	0	8088
12	10	ATLANTIC	2125	56277	883	141	0	0	0	28	0	2374	41	0	0	296
