state	county	wheat1_a	wheat1_y	wheat2_a	wheat2_y	oats_a	oats_y	rice_a	rice_y	corn_a	corn_y	cotton_a	cotton_y	scane_a	scane_y
0	0	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000
1	10	10	182	0	0	89	2909	0	0	1150	46937	0	0	0	0
1	30	23	446	12	258	190	5731	0	0	4986	188898	0	0	0	0
1	50	23	714	6	118	990	35025	0	0	1742	84165	0	0	0	0
1	70	7	130	0	0	29	869	0	0	936	32423	0	0	0	0
1	90	50	1385	19	215	122	3544	0	0	1374	58322	0	0	0	0
1	110	6	170	0	0	36	771	0	0	1663	55310	0	0	0	0
1	130	9	212	3	75	91	2683	0	0	1174	42170	0	0	0	0
1	150	26	425	0	0	74	1940	0	0	981	33446	0	0	0	0
1	0	154	3664	40	666	1621	53472	0	0	14006	541671	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0	0	0
															
2	10	2	38	2	45	521	19362	0	0	151	6694	0	0	0	0
2	30	81	1554	6084	139383	78756	3134479	0	0	3	60	0	0	0	0
2	50	2	88	3	68	431	13476	0	0	239	8551	0	0	0	0
2	70	0	0	1	5	426	14334	0	0	234	8233	0	0	0	0
2	90	0	0	5	87	194	6809	0	0	27	820	0	0	0	0
2	110	1	10	13	390	2202	79833	0	0	575	20463	0	0	0	0
2	130	0	0	1	10	196	6412	0	0	71	2684	0	0	0	0
2	150	8	205	3	54	156	4934	0	0	52	1816	0	0	0	0
2	170	0	0	2	47	496	21993	0	0	554	16619	0	0	0	0
2	190	24	488	123	2714	7117	292967	0	0	205	7593	0	0	0	0
2	210	0	0	7	194	2672	106833	0	0	85	3227	0	0	0	0
2	230	4	60	5	71	455	15280	0	0	47	1897	0	0	0	0
2	250	3	57	18	491	3906	151531	0	0	724	26666	0	0	0	0
2	270	0	0	10	186	1454	59277	0	0	147	5029	0	0	0	0
2	290	0	0	34	636	711	26843	0	0	2	100	0	0	0	0
2	310	0	0	0	0	83	2547	0	0	320	11268	0	0	0	0
2	0	125	2500	6311	144381	99776	3956910	0	0	3436	121720	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0	0	0
															
3	10	1	25	0	0	1	60	0	0	128	2141	0	0	0	0
3	30	50	300	20	550	1463	49296	0	0	887	36004	0	0	0	0
3	50	1	6	0	0	75	3260	0	0	283	7694	0	0	0	0
3	70	0	0	0	0	3	90	0	0	26	800	0	0	0	0
3	90	1	35	0	0	9	196	0	0	166	6142	0	0	0	0
3	110	0	0	0	0	34	1045	0	0	2227	87600	0	0	0	0
3	130	5	10	0	0	94	3725	0	0	1149	50157	0	0	0	0
3	150	1	15	0	0	42	1444	0	0	2741	133726	0	0	0	0
