"part","term","statistic","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)"
"estimates","f_int_1930","estimate","-0.070","-0.101","0.473","0.505","0.048","-0.042","0.037","0.042"
"estimates","f_int_1930","({std.error})","(11.853)","(11.307)","(0.382)","(0.676)","(0.061)","(0.065)","(0.059)","(0.065)"
"estimates","f_int_1935","estimate","","","","","0.104","0.014","0.196","0.187"
"estimates","f_int_1935","({std.error})","","","","","(0.084)","(0.104)","(0.071)","(0.059)"
"estimates","f_int_1940","estimate","0.378","0.326","0.951","0.910","0.155","0.050","0.185","0.171"
"estimates","f_int_1940","({std.error})","(16.310)","(23.203)","(0.464)","(0.987)","(0.106)","(0.089)","(0.095)","(0.100)"
"estimates","f_int_1945","estimate","","","0.622","0.530","","","0.284","0.242"
"estimates","f_int_1945","({std.error})","","","(1.303)","(1.276)","","","(0.077)","(0.085)"
"estimates","f_int_1950","estimate","","","","","","","0.484","0.416"
"estimates","f_int_1950","({std.error})","","","","","","","(0.092)","(0.097)"
"estimates","f_int_1954","estimate","","","0.403","0.311","-0.242","-0.278","0.609","0.536"
"estimates","f_int_1954","({std.error})","","","(1.573)","(1.161)","(0.127)","(0.137)","(0.110)","(0.138)"
"estimates","f_int_1960","estimate","","","","","-0.460","-0.468","0.782","0.719"
"estimates","f_int_1960","({std.error})","","","","","(0.131)","(0.147)","(0.139)","(0.161)"
"estimates","f_int_1964","estimate","","","","","","","0.942","0.891"
"estimates","f_int_1964","({std.error})","","","","","","","(0.161)","(0.185)"
"estimates","f_int_1970","estimate","0.807","0.673","0.455","0.262","","","0.723","0.644"
"estimates","f_int_1970","({std.error})","(14.096)","(22.970)","(1.488)","(1.273)","","","(0.155)","(0.169)"
