="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lnavfarmsize",="lnavfarmsize",="lnvalue_equipment",="lnvalue_equipment",="lntractors",="lntractors",="lnmules_horses",="lnmules_horses"
="f_int_1930",="0.037",="0.042",="-0.070",="-0.101",="0.473*",="0.505*",="0.048",="-0.042"
="",="(0.059)",="(0.064)",="(0.112)",="(0.113)",="(0.193)",="(0.202)",="(0.059)",="(0.057)"
="f_int_1935",="0.196**",="0.187**",="0.000",="0.000",="0.000",="0.000",="0.104",="0.014"
="",="(0.063)",="(0.062)",="(.)",="(.)",="(.)",="(.)",="(0.067)",="(0.066)"
="f_int_1940",="0.185*",="0.171*",="0.378**",="0.326**",="0.951**",="0.910**",="0.155*",="0.050"
="",="(0.083)",="(0.083)",="(0.117)",="(0.124)",="(0.261)",="(0.258)",="(0.077)",="(0.080)"
="f_int_1945",="0.284**",="0.242**",="0.000",="0.000",="0.622**",="0.530**",="0.000",="0.000"
="",="(0.078)",="(0.077)",="(.)",="(.)",="(0.204)",="(0.185)",="(.)",="(.)"
="f_int_1950",="0.484**",="0.416**",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.092)",="(0.091)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1954",="0.609**",="0.536**",="0.000",="0.000",="0.403",="0.311",="-0.242",="-0.278"
="",="(0.108)",="(0.107)",="(.)",="(.)",="(0.209)",="(0.181)",="(0.132)",="(0.144)"
="f_int_1960",="0.782**",="0.719**",="0.000",="0.000",="0.000",="0.000",="-0.460**",="-0.468**"
="",="(0.145)",="(0.142)",="(.)",="(.)",="(.)",="(.)",="(0.140)",="(0.162)"
="f_int_1964",="0.942**",="0.891**",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.167)",="(0.166)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1970",="0.723**",="0.644**",="0.807**",="0.673**",="0.455*",="0.262",="0.000",="0.000"
="",="(0.162)",="(0.162)",="(0.165)",="(0.166)",="(0.204)",="(0.177)",="(.)",="(.)"
="N",="1630",="1630",="652",="652",="972",="972",="978",="978"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
