="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="lnavfarmsize",="lnavfarmsize",="lnavfarmsize",="lnavfarmsize",="lnavfarmsize",="lnvalue_equipment",="lnvalue_equipment",="lnvalue_equipment",="lnvalue_equipment",="lnvalue_equipment"
="f_int_1930",="0.137*",="0.082",="0.069",="0.068",="0.042",="-0.191",="-0.152",="-0.103",="-0.103",="-0.101"
="",="(0.068)",="(0.071)",="(0.062)",="(0.063)",="(0.064)",="(0.137)",="(0.119)",="(0.111)",="(0.113)",="(0.113)"
="f_int_1935",="0.316**",="0.265**",="0.249**",="0.246**",="0.187**",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.071)",="(0.076)",="(0.065)",="(0.067)",="(0.062)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1940",="0.322**",="0.226*",="0.210**",="0.206**",="0.171*",="0.253*",="0.279*",="0.318**",="0.325**",="0.326**"
="",="(0.085)",="(0.087)",="(0.078)",="(0.078)",="(0.083)",="(0.117)",="(0.120)",="(0.119)",="(0.121)",="(0.124)"
="f_int_1945",="0.450**",="0.347**",="0.321**",="0.313**",="0.242**",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.091)",="(0.098)",="(0.077)",="(0.080)",="(0.077)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1950",="0.606**",="0.529**",="0.506**",="0.492**",="0.416**",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.099)",="(0.106)",="(0.091)",="(0.092)",="(0.091)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1954",="0.754**",="0.657**",="0.631**",="0.618**",="0.536**",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.114)",="(0.122)",="(0.106)",="(0.109)",="(0.107)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1960",="1.047**",="0.857**",="0.840**",="0.822**",="0.719**",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.146)",="(0.148)",="(0.139)",="(0.142)",="(0.142)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1964",="1.307**",="1.044**",="1.023**",="1.004**",="0.891**",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.172)",="(0.173)",="(0.161)",="(0.167)",="(0.166)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1970",="1.122**",="0.779**",="0.776**",="0.755**",="0.644**",="0.583**",="0.610**",="0.653**",="0.672**",="0.673**"
="",="(0.167)",="(0.161)",="(0.159)",="(0.165)",="(0.162)",="(0.162)",="(0.162)",="(0.159)",="(0.165)",="(0.166)"
="N",="1630",="1630",="1630",="1630",="1630",="652",="652",="652",="652",="652"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
