state	county	corn_a	corn_y	wheat_a	wheat_y	oats_a	oats_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
0	0	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
1	10	1021	42338	45	971	98	2120	0	0	0	0	0	0
1	30	4319	220493	24	701	36	1509	0	0	0	0	0	0
1	50	1171	67081	6	130	782	25184	0	0	0	0	0	0
1	70	798	39181	13	272	54	1317	0	0	0	0	0	0
1	90	1198	55465	48	853	65	1408	0	0	0	0	0	0
1	110	1290	60759	6	91	125	3293	0	0	0	0	0	0
1	130	980	40984	6	50	62	1638	0	0	0	0	0	0
1	150	1099	50127	27	507	81	1888	0	0	0	0	0	0
1	0	11876	576428	175	3575	1303	38357	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
2	10	95	3519	4	175	554	19471	0	0	0	0	0	0
2	30	0	0	1474	33069	81164	3146698	0	0	0	0	0	0
2	50	64	2697	2	40	517	15863	0	0	0	0	0	0
2	70	90	3814	30	540	444	14775	0	0	0	0	0	0
2	90	0	0	2	80	265	9297	0	0	0	0	0	0
2	110	371	12675	33	1043	2335	72160	0	0	0	0	0	0
2	130	11	352	0	0	235	7352	0	0	0	0	0	0
2	150	20	765	4	130	231	7235	0	0	0	0	0	0
2	170	140	5902	0	0	622	20800	0	0	0	0	0	0
2	190	36	1563	131	3758	7839	281117	0	0	0	0	0	0
2	210	22	862	4	162	2475	93297	0	0	0	0	0	0
2	230	45	1800	0	0	339	12684	0	0	0	0	0	0
2	250	390	18933	5	100	4535	151938	0	0	0	0	0	0
2	270	17	524	9	233	1585	58779	0	0	0	0	0	0
2	290	0	0	6	129	837	27288	0	0	0	0	0	0
2	310	273	9987	1	15	144	4020	0	0	0	0	0	0
2	0	1574	63393	1705	39474	104121	3942774	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
3	10	78	2754	0	0	0	0	0	0	0	0	0	0
3	30	493	21817	54	985	958	29066	0	0	0	0	0	0
3	50	459	20250	23	461	48	2015	0	0	0	0	0	0
3	70	22	897	0	0	0	0	0	0	0	0	0	0
3	90	248	9906	8	141	22	495	0	0	0	0	0	0
3	110	2112	89039	5	100	25	825	0	0	0	0	0	0
3	130	984	40946	30	852	40	925	0	0	0	0	0	0
3	150	2567	119472	3	75	23	430	0	0	0	0	0	0
3	170	243	10621	4	87	19	555	0	0	0	0	0	0
3	190	0	0	0	0	0	0	0	0	0	0	0	0
3	210	62	2914	0	0	28	1016	0	0	0	0	0	0
3	230	179	7138	24	329	22	825	0	0	0	0	0	0
3	250	0	0	0	0	0	0	0	0	0	0	0	0
3	270	603	23633	21	595	156	3552	0	0	0	0	0	0
3	0	8050	349387	172	3625	1341	39704	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
4	10	84	3870	0	0	113	4318	0	0	0	0	0	0
4	30	96	4885	0	0	30	971	0	0	0	0	0	0
4	50	421	22565	1	25	101	3497	0	0	0	0	0	0
4	70	15	525	3	44	1380	57321	0	0	0	0	0	0
4	90	299	16247	6	102	995	41753	0	0	0	0	0	0
4	110	192	9126	0	0	52	1457	0	0	0	0	0	0
4	130	363	17147	4	135	166	5415	0	0	0	0	0	0
4	150	333	14830	0	0	50	1075	0	0	0	0	0	0
4	170	134	6089	0	0	49	1865	0	0	0	0	0	0
