="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="lncotton_yield",="lncotton_yield",="lncorn_yield",="lncorn_yield",="lncropval_p",="lncropval_p",="lncropval_rp",="lncropval_rp",="lnlandvalue",="lnlandvalue",="lnlandvaluef",="lnlandvaluef"
="f_int_1930",="0.148",="0.122",="-0.099",="-0.115",="0.034",="-0.014",="0.148",="0.079",="-0.163",="-0.123",="0.010",="0.066"
="",="(0.109)",="(0.123)",="(0.098)",="(0.105)",="(0.131)",="(0.135)",="(0.116)",="(0.120)",="(0.110)",="(0.092)",="(0.101)",="(0.089)"
="f_int_1935",="-0.022",="-0.038",="0.159",="0.106",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.114)",="(0.112)",="(0.117)",="(0.124)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1940",="0.124",="0.006",="0.107",="0.068",="0.254*",="0.214",="0.366**",="0.284*",="0.034",="0.047",="-0.032",="-0.019"
="",="(0.081)",="(0.076)",="(0.074)",="(0.072)",="(0.123)",="(0.123)",="(0.125)",="(0.125)",="(0.102)",="(0.101)",="(0.086)",="(0.080)"
="f_int_1950",="-0.129",="-0.107",="-0.151*",="-0.083",="0.575*",="0.468",="0.767**",="0.615**",="0.000",="0.000",="0.000",="0.000"
="",="(0.111)",="(0.123)",="(0.061)",="(0.062)",="(0.244)",="(0.242)",="(0.212)",="(0.205)",="(.)",="(.)",="(.)",="(.)"
="f_int_1954",="-0.095",="-0.137",="-0.173",="-0.137",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.095)",="(0.101)",="(0.114)",="(0.111)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1960",="0.081",="0.086",="-0.048",="-0.001",="1.272**",="1.078**",="1.534**",="1.310**",="0.000",="0.000",="0.000",="0.000"
="",="(0.116)",="(0.123)",="(0.092)",="(0.092)",="(0.310)",="(0.299)",="(0.277)",="(0.269)",="(.)",="(.)",="(.)",="(.)"
="f_int_1964",="0.227**",="0.232**",="-0.102",="-0.111",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.080)",="(0.087)",="(0.080)",="(0.084)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1970",="0.091",="0.058",="-0.078",="-0.051",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.108)",="(0.105)",="(0.102)",="(0.112)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="N",="1450",="1450",="1466",="1466",="815",="815",="815",="815",="489",="489",="489",="489"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
