="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)"
="",="lnfrac_black",="lnfrac_black",="lnfrac_black",="lnfrac_black",="lnfrac_black",="lnfrac_black",="lnfrac_black",="lnpopulation_black",="lnpopulation_black",="lnpopulation_black",="lnpopulation_black",="lnpopulation_black",="lnpopulation_black",="lnpopulation_black",="lnfracfarms_nonwhite",="lnfracfarms_nonwhite",="lnfracfarms_nonwhite",="lnfracfarms_nonwhite",="lnfracfarms_nonwhite",="lnfracfarms_nonwhite",="lnfracfarms_nonwhite",="lnpopulation",="lnpopulation",="lnpopulation",="lnpopulation",="lnpopulation",="lnpopulation",="lnpopulation"
="f_int_1930",="-0.133**",="-0.144**",="-0.088*",="-0.155**",="-0.170**",="-0.074*",="-0.074",="-0.137**",="-0.170*",="-0.126",="-0.181**",="-0.212**",="-0.106",="-0.122*",="-0.206**",="-0.254**",="-0.141**",="-0.239**",="-0.238**",="-0.137*",="-0.140**",="0.009",="-0.008",="-0.049",="-0.032",="-0.047",="-0.044",="-0.057"
="",="(0.028)",="(0.041)",="(0.037)",="(0.040)",="(0.041)",="(0.037)",="(0.038)",="(0.045)",="(0.076)",="(0.068)",="(0.063)",="(0.068)",="(0.056)",="(0.061)",="(0.036)",="(0.055)",="(0.054)",="(0.054)",="(0.057)",="(0.053)",="(0.053)",="(0.046)",="(0.069)",="(0.064)",="(0.058)",="(0.059)",="(0.053)",="(0.057)"
="f_int_1940",="-0.167**",="-0.165**",="-0.088*",="-0.207**",="-0.213**",="-0.104*",="-0.108*",="-0.075",="-0.107",="-0.042",="-0.168*",="-0.198*",="-0.056",="-0.075",="-0.240**",="-0.245**",="-0.127*",="-0.259**",="-0.268**",="-0.136*",="-0.143*",="0.086",="0.061",="0.023",="0.023",="0.003",="0.020",="0.016"
="",="(0.040)",="(0.046)",="(0.044)",="(0.049)",="(0.050)",="(0.046)",="(0.050)",="(0.059)",="(0.083)",="(0.081)",="(0.078)",="(0.083)",="(0.071)",="(0.077)",="(0.046)",="(0.064)",="(0.061)",="(0.070)",="(0.074)",="(0.066)",="(0.069)",="(0.054)",="(0.073)",="(0.071)",="(0.060)",="(0.063)",="(0.058)",="(0.060)"
="f_int_1950",="-0.193**",="-0.202**",="-0.107",="-0.240**",="-0.247**",="-0.118",="-0.129",="-0.153",="-0.218",="-0.147",="-0.226*",="-0.267**",="-0.127",="-0.162",="-0.273**",="-0.309**",="-0.149",="-0.345**",="-0.372**",="-0.207*",="-0.209*",="0.061",="-0.006",="-0.060",="-0.010",="-0.039",="-0.046",="-0.060"
="",="(0.066)",="(0.063)",="(0.061)",="(0.063)",="(0.064)",="(0.062)",="(0.067)",="(0.083)",="(0.115)",="(0.101)",="(0.091)",="(0.094)",="(0.083)",="(0.092)",="(0.064)",="(0.093)",="(0.093)",="(0.099)",="(0.097)",="(0.099)",="(0.104)",="(0.076)",="(0.105)",="(0.102)",="(0.082)",="(0.087)",="(0.081)",="(0.085)"
="f_int_1960",="-0.123",="-0.170*",="-0.069",="-0.221**",="-0.223**",="-0.096",="-0.107",="-0.189",="-0.277",="-0.201",="-0.222*",="-0.277**",="-0.142",="-0.185",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.011",="-0.063",="-0.115",="-0.005",="-0.053",="-0.046",="-0.083"
="",="(0.079)",="(0.078)",="(0.073)",="(0.069)",="(0.068)",="(0.077)",="(0.081)",="(0.108)",="(0.141)",="(0.121)",="(0.101)",="(0.101)",="(0.096)",="(0.105)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(0.108)",="(0.145)",="(0.143)",="(0.113)",="(0.109)",="(0.122)",="(0.121)"
="f_int_1970",="-0.110",="-0.146",="-0.018",="-0.207*",="-0.209*",="-0.060",="-0.078",="-0.307*",="-0.344*",="-0.254",="-0.202",="-0.253*",="-0.163",="-0.199",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="-0.171",="-0.207",="-0.198",="-0.024",="-0.062",="-0.084",="-0.115"
="",="(0.093)",="(0.094)",="(0.090)",="(0.085)",="(0.084)",="(0.095)",="(0.100)",="(0.131)",="(0.165)",="(0.135)",="(0.112)",="(0.109)",="(0.107)",="(0.119)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(0.127)",="(0.173)",="(0.167)",="(0.140)",="(0.135)",="(0.145)",="(0.145)"
="N",="1304",="1304",="1259",="1304",="1304",="1259",="1259",="1304",="1304",="1259",="1304",="1304",="1259",="1259",="978",="978",="951",="978",="978",="951",="951",="1304",="1304",="1259",="1304",="1304",="1259",="1259"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
