="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)"
="",="lnavfarmsize",="lnavfarmsize",="lnavfarmsize",="lnavfarmsize",="lnavfarmsize",="lnavfarmsize",="lnavfarmsize",="lnvalue_equipment",="lnvalue_equipment",="lnvalue_equipment",="lnvalue_equipment",="lnvalue_equipment",="lnvalue_equipment",="lnvalue_equipment",="lnmules_horses",="lnmules_horses",="lnmules_horses",="lnmules_horses",="lnmules_horses",="lnmules_horses",="lnmules_horses",="lntractors",="lntractors",="lntractors",="lntractors",="lntractors",="lntractors",="lntractors"
="f_int_1930",="-0.013",="0.037",="0.042",="0.042",="0.047",="0.034",="0.039",="0.073",="-0.070",="-0.079",="-0.101",="-0.099",="-0.136",="-0.135",="0.130**",="0.048",="0.033",="-0.042",="-0.039",="-0.051",="-0.056",="0.629**",="0.473*",="0.533*",="0.505*",="0.489*",="0.472*",="0.479*"
="",="(0.050)",="(0.058)",="(0.065)",="(0.063)",="(0.062)",="(0.068)",="(0.069)",="(0.079)",="(0.104)",="(0.102)",="(0.105)",="(0.105)",="(0.103)",="(0.104)",="(0.049)",="(0.057)",="(0.051)",="(0.055)",="(0.060)",="(0.058)",="(0.059)",="(0.145)",="(0.193)",="(0.222)",="(0.202)",="(0.196)",="(0.232)",="(0.242)"
="f_int_1935",="0.078",="0.196**",="0.161*",="0.187**",="0.184**",="0.159**",="0.152*",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.150**",="0.104",="0.131*",="0.014",="0.015",="0.031",="0.025",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.061)",="(0.062)",="(0.065)",="(0.061)",="(0.060)",="(0.061)",="(0.060)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(0.050)",="(0.064)",="(0.059)",="(0.064)",="(0.069)",="(0.066)",="(0.066)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="f_int_1940",="0.026",="0.185*",="0.125",="0.171*",="0.165*",="0.120",="0.108",="0.594**",="0.378**",="0.401**",="0.326**",="0.286*",="0.333**",="0.337**",="0.182**",="0.155*",="0.228**",="0.050",="0.063",="0.129",="0.141",="1.411**",="0.951**",="0.981**",="0.910**",="0.832**",="0.870**",="0.803*"
="",="(0.074)",="(0.082)",="(0.079)",="(0.082)",="(0.081)",="(0.083)",="(0.083)",="(0.090)",="(0.109)",="(0.100)",="(0.115)",="(0.115)",="(0.104)",="(0.108)",="(0.067)",="(0.075)",="(0.071)",="(0.077)",="(0.084)",="(0.076)",="(0.078)",="(0.229)",="(0.261)",="(0.296)",="(0.258)",="(0.244)",="(0.305)",="(0.319)"
="f_int_1945",="0.136",="0.284**",="0.267**",="0.242**",="0.245**",="0.276**",="0.253**",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="1.097**",="0.622**",="0.670**",="0.530**",="0.470**",="0.474*",="0.406"
="",="(0.077)",="(0.076)",="(0.069)",="(0.076)",="(0.078)",="(0.069)",="(0.067)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(0.185)",="(0.204)",="(0.211)",="(0.185)",="(0.179)",="(0.211)",="(0.224)"
="f_int_1950",="0.254**",="0.484**",="0.397**",="0.416**",="0.415**",="0.379**",="0.365**",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
