="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lnfrac_black",="lnfrac_black",="lnpopulation_black",="lnpopulation_black",="lnpopulation",="lnpopulation",="lnfracfarms_nonwhite",="lnfracfarms_nonwhite"
="f_int_1930",="-0.144**",="-0.155**",="-0.170*",="-0.181**",="-0.008",="-0.032",="-0.254**",="-0.239**"
="",="(0.043)",="(0.041)",="(0.078)",="(0.065)",="(0.070)",="(0.059)",="(0.058)",="(0.057)"
="f_int_1940",="-0.165**",="-0.207**",="-0.107",="-0.168*",="0.061",="0.023",="-0.245**",="-0.259**"
="",="(0.047)",="(0.050)",="(0.085)",="(0.081)",="(0.075)",="(0.062)",="(0.068)",="(0.074)"
="f_int_1950",="-0.202**",="-0.240**",="-0.218",="-0.226*",="-0.006",="-0.010",="-0.309**",="-0.345**"
="",="(0.065)",="(0.065)",="(0.118)",="(0.093)",="(0.108)",="(0.085)",="(0.098)",="(0.105)"
="f_int_1960",="-0.170*",="-0.221**",="-0.277",="-0.222*",="-0.063",="-0.005",="0.000",="0.000"
="",="(0.080)",="(0.070)",="(0.145)",="(0.104)",="(0.149)",="(0.116)",="(.)",="(.)"
="f_int_1970",="-0.146",="-0.207*",="-0.344*",="-0.202",="-0.207",="-0.024",="0.000",="0.000"
="",="(0.096)",="(0.088)",="(0.170)",="(0.115)",="(0.178)",="(0.144)",="(.)",="(.)"
="N",="978",="978",="978",="978",="978",="978",="652",="652"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
