="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lnfarmland_a",="lnfarmland_a",="lnlandbuildingvaluef",="lnlandbuildingvaluef",="lnlandbuildingvalue",="lnlandbuildingvalue"
="f_int_1930",="-0.023",="-0.101",="-0.043",="-0.007",="-0.119",="-0.128*"
="",="(0.047)",="(0.053)",="(0.065)",="(0.062)",="(0.066)",="(0.061)"
="f_int_1935",="0.053",="-0.009",="-0.084",="-0.073",="-0.074",="-0.080"
="",="(0.058)",="(0.059)",="(0.069)",="(0.067)",="(0.093)",="(0.087)"
="f_int_1940",="0.203**",="0.096",="-0.110",="-0.091",="0.055",="0.033"
="",="(0.059)",="(0.069)",="(0.056)",="(0.055)",="(0.074)",="(0.075)"
="f_int_1945",="0.265**",="0.176*",="-0.333**",="-0.313**",="-0.046",="-0.058"
="",="(0.080)",="(0.085)",="(0.078)",="(0.079)",="(0.089)",="(0.097)"
="f_int_1950",="0.325**",="0.188*",="-0.391**",="-0.295**",="-0.133",="-0.128"
="",="(0.086)",="(0.091)",="(0.080)",="(0.070)",="(0.100)",="(0.097)"
="f_int_1954",="0.408**",="0.284**",="-0.351**",="-0.235**",="-0.042",="-0.007"
="",="(0.101)",="(0.105)",="(0.078)",="(0.070)",="(0.102)",="(0.100)"
="f_int_1960",="0.558**",="0.377**",="-0.404**",="-0.295**",="0.013",="0.041"
="",="(0.129)",="(0.134)",="(0.108)",="(0.106)",="(0.129)",="(0.131)"
="f_int_1964",="0.669**",="0.485**",="-0.266**",="-0.208*",="0.216",="0.213"
="",="(0.144)",="(0.147)",="(0.099)",="(0.101)",="(0.125)",="(0.136)"
="f_int_1970",="0.943**",="0.701**",="-0.301**",="-0.223**",="0.401*",="0.368*"
="",="(0.180)",="(0.176)",="(0.081)",="(0.081)",="(0.155)",="(0.152)"
="N",="1630",="1630",="1630",="1630",="1630",="1630"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
