state	county	name	var1	var2	var42	var99	var169	var170	var171	var173	var174	var175	var229	var236	var238	var249	var269	var273
1	0	CONNECTICUT	1380631	23240	1832110	11616377	34063	352	33711	874	34	840	49813	290	2577	0	0	0
1	10	FAIRFIELD	320936	3426	205750	1687545	4398	30	4368	92	6	86	6389	72	427	0	0	0
1	30	HARTFORD	336027	4663	273633	2968592	7815	42	7773	349	3	346	12561	41	124	0	0	0
1	50	LITCHFIELD	76262	3445	385948	1665310	6293	145	6148	107	7	100	9446	33	1403	0	0	0
1	70	MIDDLESEX	47550	1856	131026	688575	2133	18	2115	65	8	57	2754	27	119	0	0	0
1	90	NEW HAVEN	415214	2761	195280	1623853	4189	23	4166	81	7	74	7125	102	124	0	0	0
1	110	NEW LONDON	104611	2834	267399	1093049	3620	38	3582	54	3	51	5111	7	137	0	0	0
1	130	TOLLAND	27216	1985	163081	971063	2674	19	2655	42	0	42	3322	3	57	0	0	0
1	150	WINDHAM	52815	2270	209993	918390	2941	37	2904	84	0	84	3105	5	186	0	0	0
2	0	MAINE	768014	50033	5161428	24491256	82096	1237	80859	568	81	487	11329	3506	103898	0	0	0
2	10	ANDROSCOGGIN	65796	2722	212700	1219065	4222	81	4141	9	4	5	631	11	746	0	0	0
2	30	AROOSTOOK	81728	6337	809789	7030590	18363	296	18067	80	18	62	102	3167	73763	0	0	0
2	50	CUMBERLAND	124376	3454	233130	1276327	4452	59	4393	11	2	9	716	5	584	0	0	0
2	70	FRANKLIN	19825	1958	247783	816426	3398	75	3323	39	8	31	899	125	767	0	0	0
2	90	HANCOCK	30361	2679	232595	689322	2317	23	2294	8	1	7	71	5	543	0	0	0
2	110	KENNEBEC	63844	4473	419895	1849091	7028	80	6948	50	9	41	1491	22	3581	0	0	0
2	130	KNOX	26245	1821	131360	513415	2120	23	2097	13	0	13	159	2	285	0	0	0
2	150	LINCOLN	15976	2416	197888	669896	2736	37	2699	24	0	24	252	7	579	0	0	0
2	170	OXFORD	37700	2921	376126	1206749	4797	60	4737	31	5	26	945	4	525	0	0	0
2	190	PENOBSCOT	87684	5255	588126	2597024	9001	109	8892	74	5	69	1464	87	9448	0	0	0
2	210	PISCATAQUIS	20554	1529	206301	822463	2565	19	2546	43	0	43	502	0	2889	0	0	0
2	230	SAGADAHOC	23021	1074	111298	369367	1409	10	1399	8	0	8	213	1	448	0	0	0
2	250	SOMERSET	37171	3548	469613	1643458	6780	114	6666	53	14	39	1261	42	5669	0	0	0
2	270	WALDO	21328	3202	335494	1136470	4751	147	4604	52	8	44	763	18	2645	0	0	0
2	290	WASHINGTON	41709	2844	268756	811898	2948	42	2906	33	3	30	77	2	1283	0	0	0
2	310	YORK	70696	3800	320574	1839695	5209	62	5147	40	4	36	1783	8	143	0	0	0
3	0	MASSACHUSETTS	3852356	33454	2367629	17043842	43537	564	42973	525	25	500	39454	215	2250	0	0	0
3	10	BARNSTABLE	26670	788	35885	352028	555	18	537	12	0	12	347	0	3	0	0	0
3	30	BERKSHIRE	113033	2731	358503	1317678	4998	11	4987	57	4	53	4843	137	1661	0	0	0
3	50	BRISTOL	359005	3045	139188	1239497	3376	9	3367	27	3	24	4985	9	113	0	0	0
3	70	DUKES	4372	117	20779	42990	190	2	188	0	0	0	105	0	7	0	0	0
3	90	ESSEX	482156	2305	114038	1290222	2878	19	2859	128	1	127	1545	0	22	0	0	0
3	110	FRANKLIN	49361	3139	278440	1446069	4500	57	4443	34	4	30	4685	21	53	0	0	0
3	130	HAMPDEN	300305	2510	201607	1121653	3200	11	3189	68	4	64	3611	6	49	0	0	0
3	150	HAMPSHIRE	69599	3169	251647	1808353	4508	71	4437	24	3	21	5665	1	80	0	0	0
3	170	MIDDLESEX	778352	4567	241669	3272569	5975	69	5906	34	0	34	3192	8	46	0	0	0
3	190	NANTUCKET	2797	25	4953	36500	56	0	56	0	0	0	79	0	2	0	0	0
3	210	NORFOLK	219081	1334	63165	843971	1688	85	1603	8	2	6	1314	0	23	0	0	0
3	230	PLYMOUTH	156968	2614	127509	1255849	2132	34	2098	16	4	12	1576	16	31	0	0	0
3	250	SUFFOLK	835522	16	264	23700	158	8	150	0	0	0	1	0	0	0	0	0
3	270	WORCESTER	455135	7094	529982	2992763	9323	170	9153	117	0	117	7506	17	160	0	0	0
4	0	NEW HAMPSHIRE	443083	21065	2262064	8988419	31457	449	31008	283	23	260	12998	72	4092	0	0	0
4	10	BELKNAP	21178	1361	163858	608245	1962	24	1938	13	0	13	661	2	129	0	0	0
4	30	CARROLL	15017	1419	151293	500243	1891	18	1873	24	1	23	263	13	79	0	0	0
4	50	CHESHIRE	30975	1802	191278	636907	2634	27	2607	29	5	24	1540	0	263	0	0	0
4	70	COOS	36093	1356	217895	765626	3387	122	3265	12	0	12	332	33	1667	0	0	0
4	90	GRAFTON	40572	2698	378682	1515045	5084	74	5010	23	1	22	2542	8	1143	0	0	0
4	110	HILLSBOROUGH	135512	2954	294545	1522058	4019	61	3958	32	4	28	1920	5	95	0	0	0
4	130	MERRIMACK	51770	2785	312954	1066081	3970	42	3928	71	9	62	1982	2	280	0	0	0
4	150	ROCKINGHAM	52498	3744	248101	1191802	4131	24	4107	56	3	53	1674	0	76	0	0	0
4	170	STRAFFORD	38546	1511	123672	616062	1953	14	1939	7	0	7	560	0	21	0	0	0
4	190	SULLIVAN	20922	1435	179786	566350	2426	43	2383	16	0	16	1524	9	339	0	0	0
5	0	RHODE ISLAND	604397	3911	309013	2063716	5368	56	5312	93	3	90	8077	18	449	0	0	0
5	10	BRISTOL	23113	213	8825	93871	277	5	272	10	0	10	542	1	35	0	0	0
5	30	KENT	38269	450	36101	203435	553	8	545	14	0	14	848	2	18	0	0	0
5	50	NEWPORT	42893	905	41183	411935	1329	2	1327	16	0	16	2704	13	327	0	0	0
5	70	PROVIDENCE	475190	1532	119879	789537	2025	16	2009	23	0	23	2287	0	0	0	0	0
5	90	WASHINGTON	24932	811	103025	564938	1184	25	1159	30	3	27	1696	2	69	0	0	0
6	0	VERMONT	352428	27786	3925683	18129968	62819	1448	61371	685	74	611	79495	1307	51368	0	0	0
6	10	ADDISON	18666	2245	364836	1930782	6338	252	6086	54	11	43	11557	732	12789	0	0	0
6	30	BENNINGTON	21577	1322	179071	708587	2782	170	2612	48	1	47	3699	40	2370	0	0	0
6	50	CALEDONIA	25762	2072	298191	1368832	4918	99	4819	73	14	59	2098	57	2932	0	0	0
6	70	CHITTENDEN	43708	2025	282168	1622763	4974	113	4861	93	11	82	10625	74	5137	0	0	0
6	90	ESSEX	7364	741	142293	447947	1713	38	1675	19	1	18	447	6	1221	0	0	0
6	110	FRANKLIN	30026	2253	335886	1568996	6007	118	5889	19	4	15	8908	130	7680	0	0	0
6	130	GRAND ISLE	3784	496	45102	287748	1286	33	1253	4	0	4	2627	84	3180	0	0	0
6	150	LAMOILLE	11858	1459	188143	851047	3181	30	3151	41	0	41	3025	10	1020	0	0	0
6	170	ORANGE	17279	2635	379810	1402433	5347	76	5271	65	12	53	5610	65	2505	0	0	0
6	190	ORLEANS	23913	2375	344423	1951203	5859	128	5731	28	0	28	3468	37	5720	0	0	0
6	210	RUTLAND	46213	2571	335833	1683143	5356	100	5256	89	8	81	11251	16	2640	0	0	0
6	230	WASHINGTON	38921	2391	297429	1515948	5185	59	5126	56	1	55	4694	14	2090	0	0	0
6	250	WINDHAM	26373	2091	313024	1092087	3768	55	3713	37	1	36	3489	8	439	0	0	0
6	270	WINDSOR	36984	3110	419474	1698452	6105	177	5928	59	10	49	7997	34	1645	0	0	0
11	0	DELAWARE	223003	10257	899641	5906223	22496	833	21663	9451	114	9337	136214	96703	2084	0		
11	10	KENT	31023	3043	300576	1827815	8019	299	7720	2527	67	2460	44068	42300	238			
11	30	NEW CASTLE	148239	1967	211008	1862993	7656	394	7262	634	35	599	25056	37048	1544	0		
11	50	SUSSEX	43741	5247	388057	2215415	6821	140	6681	6290	12	6278	67090	17355	302	0		
12	0	NEW JERSEY	3155900	29671	1924545	23452261	57137	796	56341	4966	137	4829	190549	53311	41060	0	0	0
12	10	ATLANTIC	83914	1674	50815	742055	1211	4	1207	154	4	150	2663	7	1	0	0	0
12	30	BERGEN	210703	1190	29693	978392	1242	4	1238	12	0	12	715	40	29	0	0	0
12	50	BURLINGTON	81770	2132	183940	2628844	5118	40	5078	1442	6	1436	24037	3015	236	0	0	0
12	70	CAMDEN	190508	758	33564	414512	1294	20	1274	231	11	220	3535	257	58	0	0	0
12	90	CAPE MAY	19460	682	48356	287860	762	8	754	53	0	53	3235	41	26	0	0	0
12	110	CUMBERLAND	61348	3340	144342	1982458	4434	30	4404	524	5	519	13045	2082	346	0	0	0
12	130	ESSEX	652089	686	17840	488911	745	6	739	19	0	19	963	29	4	0	0	0
12	150	GLOUCESTER	48224	2324	122166	2216383	4594	6	4588	575	26	549	12115	248	109	0	0	0
12	170	HUDSON	629154	48	427	157150	82	0	82	2	0	2	0	0	0	0	0	0
12	190	HUNTERDON	32885	2605	201109	1999934	5802	228	5574	179	13	166	24198	14407	13687	0	0	0
12	210	MERCER	159881	1129	92936	1209642	3034	17	3017	230	8	222	11833	4706	2355	0	0	0
12	230	MIDDLESEX	162334	1667	92735	1361254	3421	22	3399	161	0	161	7764	2846	797	0	0	0
12	250	MONMOUTH	104925	2672	172308	2062657	6444	73	6371	479	10	469	18214	2247	127	0	0	0
12	270	MORRIS	82694	944	88825	717275	1830	69	1761	43	1	42	6546	1096	2455	0	0	0
12	290	OCEAN	22155	665	26222	320072	536	21	515	48	2	46	1458	90	39	0	0	0
12	310	PASSAIC	259174	505	17821	587457	600	4	596	8	0	8	796	13	7	0	0	0
12	330	SALEM	36572	1909	148563	1750278	5644	99	5545	466	13	453	21797	4763	643	0	0	0
12	350	SOMERSET	47991	1246	100255	840416	2531	35	2496	112	10	102	9347	5641	4617	0	0	0
12	370	SUSSEX	24905	1397	184316	1106074	3077	30	3047	105	14	91	10842	1359	4345	0	0	0
12	390	UNION	200157	525	10750	463305	863	0	863	15	0	15	387	384	63	0	0	0
12	410	WARREN	45057	1573	157562	1137332	3873	80	3793	108	14	94	17059	10040	11116	0	0	0
13	0	NEW YORK	10385227	188754	19269926	169385252	440203	7417	432786	7062	482	6580	652716	313792	869166	0	0	0
13	10	ALBANY	186106	2661	246145	2504918	5924	69	5855	104	8	96	7024	1864	11166	0	0	0
13	30	ALLEGANY	36842	4203	545479	3278902	10324	239	10085	152	6	146	8958	1341	32924	0	0	0
13	50	BRONX	732016	41	738	14150	57	0	57	10	0	10	63	0	0	0	0	0
13	70	BROOME	113610	3515	363919	2396466	6914	126	6788	162	4	158	7454	240	10375	0	0	0
13	90	CATTARAUGUS	71323	5353	631254	4098266	11393	193	11200	136	2	134	15145	537	27940	0	0	0
13	110	CAYUGA	65221	4412	371994	4076207	11934	263	11671	229	27	202	21599	19528	25760	0	0	0
13	130	CHAUTAUQUA	115348	7354	581597	5651723	13795	213	13582	281	15	266	21301	1204	28122	0	0	0
13	150	CHEMUNG	65872	1925	207991	1452205	4247	62	4185	150	9	141	7074	2127	10243	0	0	0
13	170	CHENANGO	34969	3698	478496	3128809	8773	155	8618	162	6	156	10381	286	10411	0	0	0
13	190	CLINTON	43898	3385	413560	2585224	8516	263	8253	22	1	21	11637	372	17312	0	0	0
13	210	COLUMBIA	38930	2589	314822	2643823	6173	69	6104	189	5	184	14758	708	10426	0	0	0
13	230	CORTLAND	29625	2192	267211	2029765	5766	75	5691	132	15	117	7014	227	10553	0	0	0
13	250	DELAWARE	42774	4293	698217	3844355	10096	109	9987	170	13	157	5986	66	6579	0	0	0
13	270	DUTCHESS	91747	2303	325020	2581916	5782	77	5705	138	8	130	15722	1280	8516	0	0	0
13	290	ERIE	634688	7899	523268	7761425	16266	241	16025	232	14	218	24941	16077	37273	0	0	0
13	310	ESSEX	31871	1873	282744	1193485	4037	69	3968	33	1	32	3659	119	5603	0	0	0
13	330	FRANKLIN	43541	3103	351605	1857524	7206	246	6960	34	0	34	8986	326	15062	0	0	0
13	350	FULTON	44927	1922	175258	1023172	3417	106	3311	18	0	18	4051	61	5768	0	0	0
13	370	GENESEE	37976	3055	271357	3396218	9447	182	9265	113	10	103	11827	26857	16247	0	0	0
13	390	GREENE	25796	2328	263577	1576837	4013	39	3974	51	0	51	5464	826	3667	0	0	0
13	410	HAMILTON	3970	316	33019	130210	408	10	398	22	0	22	105	7	116	0	0	0
13	430	HERKIMER	64962	2739	324926	2863210	6851	47	6804	74	5	69	12039	282	12235	0	0	0
13	450	JEFFERSON	82250	5007	658061	5023140	13861	282	13579	118	9	109	23339	1400	65560	0	0	0
13	470	KINGS	2018356	40	300	36350	32	0	32	0	0	0	16	0	0	0	0	0
13	490	LEWIS	23704	2974	441553	2361480	6921	145	6776	54	0	54	7097	89	18953	0	0	0
13	510	LIVINGSTON	36830	2686	339487	3182995	10002	305	9697	148	20	128	11079	23905	20204	0	0	0
13	530	MADISON	39535	3632	348162	3012367	8811	162	8649	161	15	146	15117	1198	14669	0	0	0
13	550	MONROE	352034	5004	343823	6752270	13999	192	13807	145	13	132	19898	37746	24540	0	0	0
13	570	MONTGOMERY	57928	2024	218148	2215704	5681	107	5574	59	0	59	11809	607	17995	0	0	0
13	590	NASSAU	126120	766	42991	1277038	1780	30	1750	32	0	32	1197	25	0	0	0	0
13	610	NEW YORK	2284103	5	72	5450	8	0	8	2	0	2	0	0	0	0	0	0
13	630	NIAGARA	118705	4303	287108	5430735	9976	122	9854	227	14	213	19270	26707	20486	0	0	0
13	650	ONEIDA	182833	5822	569745	4916992	12575	139	12436	149	17	132	21076	744	16672	0	0	0
13	670	ONONDAGA	241465	5538	408319	5064064	13359	210	13149	253	21	232	23605	10131	22997	0	0	0
13	690	ONTARIO	52652	3685	340265	4352263	11360	205	11155	221	8	213	14350	25891	21006	0	0	0
13	710	ORANGE	119844	3706	310780	2885524	7425	118	7307	99	6	93	12736	1223	1893	0	0	0
13	730	ORLEANS	28619	2767	222157	3880907	7819	85	7734	140	8	132	10298	22292	11630	0	0	0
13	750	OSWEGO	71045	5815	446645	3752302	10565	138	10427	226	18	208	17671	781	14929	0	0	0
13	770	OTSEGO	46200	4887	547428	3615160	10733	184	10549	144	17	127	14673	177	19865	0	0	0
13	790	PUTNAM	10802	385	53560	321270	744	14	730	10	1	9	1710	1	131	0	0	0
13	810	QUEENS	469042	191	5840	630350	464	0	464	0	0	0	220	0	0	0	0	0
13	830	RENSSELAER	113129	3130	315992	2295544	6732	79	6653	71	7	64	12410	172	9951	0	0	0
13	850	RICHMOND	116531	159	3507	239951	259	0	259	2	0	2	194	6	7	0	0	0
13	870	ROCKLAND	45548	889	39424	572190	878	8	870	28	10	18	1110	40	190	0	0	0
13	890	ST LAWRENCE	88121	7583	1012449	6302680	19063	431	18632	144	14	130	30121	509	47003	0	0	0
13	910	SARATOGA	60029	3298	318198	2013592	6361	81	6280	85	0	85	11961	409	9199	0	0	0
13	930	SCHENECTADY	109363	1092	94455	986498	2348	27	2321	29	0	29	3472	153	5408	0	0	0
13	950	SCHOHARIE	21303	2889	332629	2277200	6607	92	6515	51	8	43	9173	610	17068	0	0	0
13	970	SCHUYLER	13098	1600	173165	1434331	3826	56	3770	154	13	141	4187	4590	9087	0	0	0
13	990	SENECA	24735	1902	179722	2144925	5573	102	5471	82	8	74	10086	16872	12724	0	0	0
13	1010	STEUBEN	80627	5786	725391	5148643	14982	346	14636	321	26	295	15231	7008	51398	0	0	0
13	1030	SUFFOLK	110246	2222	111762	3161700	4609	15	4594	119	8	111	9580	1070	650	0	0	0
13	1050	SULLIVAN	33163	3163	298303	1759594	5010	63	4947	135	5	130	4094	37	2473	0	0	0
13	1070	TIOGA	24212	2506	267641	1820071	5565	124	5441	196	17	179	8988	1075	13672	0	0	0
13	1090	TOMPKINS	35285	2363	233938	1968671	5814	119	5695	150	12	138	8691	6209	14256	0	0	0
13	1110	ULSTER	74979	4036	352596	2889567	6120	48	6072	125	11	114	9026	2226	3594	0	0	0
13	1130	WARREN	31673	1504	181835	629111	2315	50	2265	7	1	6	1653	11	795	0	0	0
13	1150	WASHINGTON	44888	3389	423820	2780717	8561	150	8411	75	7	68	21213	217	16855	0	0	0
13	1170	WAYNE	48827	4814	331007	5344014	11708	99	11609	203	7	196	21510	19120	21081	0	0	0
13	1190	WESTCHESTER	344436	782	72703	1210985	1640	32	1608	37	0	37	2491	119	223	0	0	0
13	1210	WYOMING	30314	3254	350074	3515400	9513	128	9385	102	7	95	9719	11927	24940	0	0	0
13	1230	YATES	16641	1997	194674	2084697	5265	76	5189	144	5	139	7457	14160	10764	0	0	0
14	0	PENNSYLVANIA	8720017	200443	16296468	140652293	409565	10961	398604	53133	2009	51124	1280222	1113818	954176	0	0	0
14	10	ADAMS	34583	3557	268249	2250001	7550	187	7363	3296	110	3186	35704	43985	11865	0	0	0
14	30	ALLEGHENY	1185808	4236	237096	2759221	6804	136	6668	302	13	289	13131	8808	11997	0	0	0
14	50	ARMSTRONG	75568	3569	286843	1874410	6850	225	6625	289	22	267	16822	13554	18223	0	0	0
14	70	BEAVER	111621	2415	192495	1477661	4789	106	4683	113	4	109	9867	7892	9855	0	0	0
14	90	BEDFORD	38277	3570	440770	2099357	7331	241	7090	688	49	639	25487	23826	17666	0	0	0
14	110	BERKS	200854	5965	383002	5170320	12173	160	12013	3302	162	3140	54481	58972	39034	0	0	0
14	130	BLAIR	128334	1824	158219	1244964	3811	87	3724	321	12	309	13104	12684	9674	0	0	0
14	150	BRADFORD	53166	5104	588087	3840030	11518	220	11298	221	16	205	24490	4542	28951	0	0	0
14	170	BUCKS	82476	5808	307619	5155047	11959	78	11881	410	29	381	40908	26607	19813	0	0	0
14	190	BUTLER	77270	4177	324778	2401397	8421	372	8049	276	27	249	19509	15014	21731	0	0	0
14	210	CAMBRIA	197839	2392	178790	1665453	4491	110	4381	233	2	231	8166	3974	16277	0	0	0
14	230	CAMERON	6297	183	14304	142190	313	18	295	15	3	12	197	83	528	0	0	0
14	250	CARBON	62565	934	81273	826360	1702	6	1696	57	7	50	3435	3498	3969	0	0	0
14	270	CENTRE	44304	2105	239797	1827651	6151	220	5931	446	47	399	23624	27100	19205	0	0	0
14	290	CHESTER	115120	5249	395346	5020039	13800	395	13405	1448	111	1337	53796	35674	21389	0	0	0
14	310	CLARION	36170	2978	247230	1843275	5799	254	5545	146	11	135	15407	14708	20165	0	0	0
14	330	CLEARFIELD	103236	3600	220137	1559409	4690	60	4630	386	32	354	9676	4247	14087	0	0	0
14	350	CLINTON	33555	1148	104164	704758	2381	69	2312	108	8	100	8829	8749	6377	0	0	0
14	370	COLUMBIA	48349	2648	203383	2044946	5549	42	5507	472	11	461	21994	22907	18615	0	0	0
14	390	CRAWFORD	60667	6578	548755	4029617	14065	654	13411	348	43	305	24981	8688	32764	0	0	0
14	410	CUMBERLAND	58578	3022	240670	2353882	7760	358	7402	2736	66	2670	45328	48615	22370	0	0	0
14	430	DAUPHIN	153116	2607	196311	1688095	5075	78	4997	1977	31	1946	27273	24628	18832	0	0	0
14	450	DELAWARE	173084	910	53304	761312	2331	36	2295	96	12	84	6606	2272	1514	0	0	0
14	470	ELK	34981	1017	74326	609153	1401	14	1387	68	4	64	1896	206	5766	0	0	0
14	490	ERIE	153536	5698	425331	4246486	11397	288	11109	229	16	213	21677	4811	27048	0	0	0
14	510	FAYETTE	188104	3557	270250	1632068	5931	202	5729	178	10	168	13813	6204	12516	0	0	0
14	530	FOREST	7477	450	45281	145591	708	12	696	17	0	17	869	681	1874	0	0	0
14	550	FRANKLIN	62275	3877	347936	3011004	12543	858	11685	1481	138	1343	54028	78406	7458	0	0	0
14	570	FULTON	9617	1284	162849	713416	2959	194	2765	349	28	321	11439	15934	2802	0	0	0
14	590	GREENE	30804	2915	319998	1385862	6604	197	6407	161	17	144	10717	4303	7501	0	0	0
14	610	HUNTINGDON	39848	2014	294824	1449206	4376	91	4285	1001	35	966	18749	19465	11154	0	0	0
14	630	INDIANA	80910	4062	348904	2187399	7963	282	7681	622	26	596	21347	13817	22030	0	0	0
14	650	JEFFERSON	62104	3161	226129	1924177	5554	307	5247	305	8	297	12121	7614	19926	0	0	0
14	670	JUNIATA	14464	1509	151880	1132066	3104	45	3059	1033	13	1020	14447	16380	11997	0	0	0
14	690	LACKAWANNA	286311	1717	121572	1272100	2927	52	2875	142	7	135	4000	56	4456	0	0	0
14	710	LANCASTER	173797	11457	520764	9364526	19103	327	18776	8831	297	8534	92436	101640	14610	0	0	0
14	730	LAWRENCE	85545	2604	178825	1903276	5661	327	5334	166	2	164	12944	10667	11560	0	0	0
14	750	LEBANON	63152	2429	163566	1632599	4789	68	4721	2251	89	2162	26682	30824	16533	0	0	0
