state	county	corn_a	corn_y	wheat_a	wheat_y	oats_a	oats_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
0	0	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000
1	10	2293	89517	72	1275	427	11041	0	0	0	0	0	0
1	30	5223	198373	41	565	124	3383	0	0	0	0	0	0
1	50	2276	101971	33	863	1403	42989	0	0	0	0	0	0
1	70	1426	48134	27	481	119	2795	0	0	0	0	0	0
1	90	1897	73625	102	2580	124	4315	0	0	0	0	0	0
1	110	1624	66387	7	136	137	3466	0	0	0	0	0	0
1	130	1328	62551	3	28	57	2205	0	0	0	0	0	0
1	150	1382	56202	5	49	186	4714	0	0	0	0	0	0
1	0	17449	696760	290	5977	2577	74908	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
2	10	118	4296	11	287	746	27760	0	0	0	0	0	0
2	30	68	2360	3167	70060	73763	2819418	0	0	0	0	0	0
2	50	65	2381	5	117	584	19716	0	0	0	0	0	0
2	70	69	2593	125	3692	767	28405	0	0	0	0	0	0
2	90	9	451	5	132	543	18314	0	0	0	0	0	0
2	110	244	8636	22	531	3581	127556	0	0	0	0	0	0
2	130	30	868	2	31	285	8944	0	0	0	0	0	0
2	150	48	1674	7	92	579	19672	0	0	0	0	0	0
2	170	164	7008	4	80	525	19718	0	0	0	0	0	0
2	190	65	3390	87	1823	9448	353090	0	0	0	0	0	0
2	210	35	1375	0	0	2889	113790	0	0	0	0	0	0
2	230	22	830	1	26	448	14435	0	0	0	0	0	0
2	250	160	7158	42	1182	5669	218257	0	0	0	0	0	0
2	270	112	3482	18	522	2645	98001	0	0	0	0	0	0
2	290	4	115	2	43	1283	46276	0	0	0	0	0	0
2	310	177	8515	8	89	143	4772	0	0	0	0	0	0
2	0	1390	55132	3506	78707	103898	3938124	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
3	10	85	2495	0	0	3	128	0	0	0	0	0	0
3	30	1240	59477	137	2755	1661	63325	0	0	0	0	0	0
3	50	458	17233	9	170	113	3695	0	0	0	0	0	0
3	70	71	1722	0	0	7	150	0	0	0	0	0	0
3	90	103	5308	0	0	22	1005	0	0	0	0	0	0
3	110	2111	91249	21	297	53	1713	0	0	0	0	0	0
