state	county	name	farms	facres	farmequi	horses	mules	tractors
1	0	CONNECTICUT	17195	1502279	12370693	20735	518	2667
1	10	FAIRFIELD	2081	142404	1628518	2126	46	310
1	30	HARTFORD	3743	249615	3274740	4972	234	718
1	50	LITCHFIELD	2174	279582	1773315	3732	50	393
1	70	MIDDLESEX	1262	103092	724588	1166	52	159
1	90	NEW HAVEN	2155	149951	1940206	2377	32	488
1	110	NEW LONDON	2327	249238	1221691	2410	31	272
1	130	TOLLAND	1553	140127	905218	1854	52	173
1	150	WINDHAM	1900	188270	902417	2098	21	154
2	0	MAINE	39006	4639938	28382752	60958	524	3410
2	10	ANDROSCOGGIN	2322	215710	1209827	2637	34	143
2	30	AROOSTOOK	6459	868400	10627820	17002	111	1614
2	50	CUMBERLAND	2233	211867	1410359	3041	32	191
2	70	FRANKLIN	1530	220777	910309	2664	19	56
2	90	HANCOCK	1300	149386	613676	1234	12	52
2	110	KENNEBEC	3592	365873	1985090	4947	61	208
2	130	KNOX	1845	144158	669010	1558	7	41
2	150	LINCOLN	1870	169977	620920	1873	10	39
2	170	OXFORD	2806	393107	1514383	3883	52	183
2	190	PENOBSCOT	4060	504380	2809066	6668	37	269
2	210	PISCATAQUIS	918	152450	705189	1605	4	68
2	230	SAGADAHOC	815	91213	366379	979	12	42
2	250	SOMERSET	2996	407853	1780102	5353	50	173
2	270	WALDO	2511	293256	1256624	3380	36	140
2	290	WASHINGTON	1591	233191	689053	1644	14	29
2	310	YORK	2158	218340	1214945	2490	33	162
3	0	MASSACHUSETTS	25598	2005461	18730074	24797	272	3921
3	10	BARNSTABLE	484	21871	297283	161	6	68
3	30	BERKSHIRE	1604	251151	1314915	2493	24	262
3	50	BRISTOL	3042	145172	1849474	2634	20	482
3	70	DUKES	67	16064	43745	58	0	9
3	90	ESSEX	2024	117113	1721873	1704	11	316
3	110	FRANKLIN	2695	260326	1571323	3011	47	198
3	130	HAMPDEN	1786	166076	1078550	1639	31	292
3	150	HAMPSHIRE	2588	229708	1742792	3047	32	279
3	170	MIDDLESEX	3453	201029	3364057	2882	19	738
3	190	NANTUCKET	23	3702	39150	9	0	6
3	210	NORFOLK	1128	54940	1018896	927	8	208
3	230	PLYMOUTH	1734	100414	1296095	939	9	288
3	250	SUFFOLK	27	722	35120	18	0	1
3	270	WORCESTER	4943	437173	3356801	5275	65	774
4	0	NEW HAMPSHIRE	14906	1960061	8911507	20101	166	1096
4	10	BELKNAP	766	105276	481428	1061	10	55
4	30	CARROLL	981	144595	431394	1248	11	60
4	50	CHESHIRE	1102	160510	608008	1561	14	86
4	70	COOS	1214	215411	915578	2677	18	69
4	90	GRAFTON	2077	347473	1423541	3743	41	146
4	110	HILLSBOROUGH	2030	238249	1344612	2242	15	196
4	130	MERRIMACK	1997	270499	1094552	2478	27	126
4	150	ROCKINGHAM	2458	202432	1299493	2277	13	214
4	170	STRAFFORD	951	100621	553566	999	3	81
4	190	SULLIVAN	1330	174995	759335	1815	14	63
5	0	RHODE ISLAND	3322	279361	2718369	3199	67	589
5	10	BRISTOL	144	7605	138742	182	3	32
5	30	KENT	592	46286	469686	304	4	79
5	50	NEWPORT	625	37286	573677	1016	19	138
5	70	PROVIDENCE	1340	101173	1002270	1018	24	210
5	90	WASHINGTON	621	87011	533994	679	17	130
6	0	VERMONT	24898	3896097	20767500	52279	524	2426
6	10	ADDISON	2023	354792	2133967	5214	68	504
6	30	BENNINGTON	950	161973	827001	1892	36	127
6	50	CALEDONIA	2085	300927	1536063	4266	51	73
6	70	CHITTENDEN	1842	277498	1706012	4111	46	316
6	90	ESSEX	572	114744	449282	1323	4	43
6	110	FRANKLIN	2303	361109	2177311	5535	29	189
6	130	GRAND ISLE	434	45704	433334	907	8	125
6	150	LAMOILLE	1424	200032	978374	2761	36	69
6	170	ORANGE	2298	351247	1577572	4320	36	133
6	190	ORLEANS	2337	359561	2232888	5402	41	101
6	210	RUTLAND	2151	382442	1919629	4536	43	313
6	230	WASHINGTON	2178	303756	1745892	4337	69	140
6	250	WINDHAM	1665	282105	1139244	2779	17	126
6	270	WINDSOR	2636	400207	1910931	4896	40	167
11	0	DELAWARE	9707	900815	7285130	17833	9579	1600
11	10	KENT	2874	302006	2233386	6625	2285	594
11	30	NEW CASTLE	1839	207323	2016374	6192	581	447
11	50	SUSSEX	4994	391486	3035370	5016	6713	559
12	0	NEW JERSEY	25378	1758027	27076085	39269	3484	8088
12	10	ATLANTIC	1572	44788	956142	834	133	296
12	30	BERGEN	811	18858	972915	380	8	276
12	50	BURLINGTON	1948	182740	2953012	3847	968	932
12	70	CAMDEN	882	33504	688080	991	147	198
12	90	CAPE MAY	383	29897	250075	314	30	97
12	110	CUMBERLAND	2587	127826	2038799	2881	406	504
12	130	ESSEX	247	7723	424653	217	6	80
12	150	GLOUCESTER	2347	121369	2238892	3661	472	628
12	170	HUDSON	76	455	317875	11	0	1
12	190	HUNTERDON	2465	200644	2333068	4141	158	880
12	210	MERCER	1131	93051	1334108	2279	136	549
12	230	MIDDLESEX	1096	71297	1460460	1979	104	400
12	250	MONMOUTH	2228	154439	2449952	4660	296	831
12	270	MORRIS	1128	98581	1383500	1434	40	354
12	290	OCEAN	630	30288	298818	428	54	90
12	310	PASSAIC	412	12157	512018	319	6	156
12	330	SALEM	1426	128006	1665175	4084	298	448
12	350	SOMERSET	1258	99137	1521556	1843	65	553
12	370	SUSSEX	1155	165039	1355601	2238	45	320
12	390	UNION	285	6530	445077	241	3	66
12	410	WARREN	1311	131698	1476309	2487	109	429
13	0	NEW YORK	159806	17979633	173606369	320460	5849	40369
13	10	ALBANY	1927	202518	2370052	3663	71	424
13	30	ALLEGANY	3375	480715	3250825	7298	85	868
13	50	BRONX	15	172	12550	0	0	1
13	70	BROOME	3104	336035	2644000	5044	148	474
13	90	CATTARAUGUS	3999	544704	3855843	7507	119	806
13	110	CAYUGA	3865	372890	3993057	8595	206	1042
13	130	CHAUTAUQUA	6410	538635	5554016	9876	354	1409
13	150	CHEMUNG	1565	180186	1558123	3004	55	391
13	170	CHENANGO	3333	465666	3368172	7095	141	570
13	190	CLINTON	2852	429068	2786377	6660	75	333
13	210	COLUMBIA	2144	276426	2740673	4424	100	652
13	230	CORTLAND	1968	260387	2187820	4453	93	384
13	250	DELAWARE	3956	678333	4071393	8239	132	285
13	270	DUTCHESS	2190	337901	3264523	4858	98	777
13	290	ERIE	5942	433712	6644868	10439	196	1895
13	310	ESSEX	1757	264044	1326507	2969	29	206
13	330	FRANKLIN	2925	356541	2291359	5988	79	220
13	350	FULTON	1167	121767	1092399	2136	47	207
13	370	GENESEE	2555	259191	3367529	7022	60	1156
13	390	GREENE	1787	227312	1774395	2833	49	319
13	410	HAMILTON	160	32347	116553	241	4	7
13	430	HERKIMER	2400	300638	2903633	5468	58	606
13	450	JEFFERSON	4699	673211	5271437	11230	98	1178
13	470	KINGS	11	87	7175	7	0	1
13	490	LEWIS	2558	401363	2836147	5491	47	355
13	510	LIVINGSTON	2322	332762	3102972	7739	83	925
13	530	MADISON	3176	337272	3411558	6575	123	905
13	550	MONROE	4165	312589	5988747	8957	102	1842
13	570	MONTGOMERY	1753	212331	2681771	4134	40	856
13	590	NASSAU	579	23477	1893361	648	7	391
13	610	NEW YORK	0	0	0	0	0	0
13	630	NIAGARA	4018	282499	5093169	7553	198	2209
13	650	ONEIDA	4699	515700	5292450	10008	154	1085
13	670	ONONDAGA	4529	373716	5113257	9100	229	1230
13	690	ONTARIO	3322	343863	4524782	8590	210	1416
13	710	ORANGE	3115	301363	3531008	5062	91	628
13	730	ORLEANS	2392	213498	3409765	5663	79	1274
13	750	OSWEGO	4726	388861	3495344	7683	173	714
13	770	OTSEGO	3980	513337	3864458	8386	128	609
13	790	PUTNAM	293	53076	492509	541	13	97
13	810	QUEENS	186	2873	388653	74	2	46
13	830	RENSSELAER	2533	268552	2237207	4036	59	427
13	850	RICHMOND	66	1181	163920	26	0	8
13	870	ROCKLAND	360	18857	561274	301	20	177
13	890	ST LAWRENCE	6979	1001289	6947546	15505	152	1108
13	910	SARATOGA	2417	259324	2305260	3950	44	484
13	930	SCHENECTADY	736	71837	862546	1149	27	248
13	950	SCHOHARIE	2272	304574	2300676	4954	74	411
13	970	SCHUYLER	1361	155974	1198228	2650	121	326
13	990	SENECA	1666	172700	2207656	3969	97	839
13	1010	STEUBEN	5143	706899	5035364	11391	315	1247
13	1030	SUFFOLK	1772	99671	3729213	2521	78	972
13	1050	SULLIVAN	2979	286503	1960732	3861	64	126
13	1070	TIOGA	2273	262396	2145758	4023	161	443
13	1090	TOMPKINS	2358	240632	2106873	4288	156	547
13	1110	ULSTER	3690	314765	3126543	4214	56	540
13	1130	WARREN	889	130372	501453	1170	10	23
13	1150	WASHINGTON	2889	417432	3055591	6487	44	511
13	1170	WAYNE	4498	325462	5596344	8978	183	1577
13	1190	WESTCHESTER	428	41033	862866	594	18	129
13	1210	WYOMING	2839	333115	3237594	7069	93	803
13	1230	YATES	1739	185999	1890495	4071	101	630
