state	county	corn_a	corn_y	oats_a	oats_y	wheat_a	wheat_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
0	0	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000
1	10	715	29322	131	2558	22	532	0	0	0	0	0	0
1	30	3564	166164	80	2209	25	730	0	0	0	0	0	0
1	50	869	44706	1109	41531	9	102	0	0	0	0	0	0
1	70	397	15105	9	207	12	356	0	0	0	0	0	0
1	90	978	38762	109	3200	46	689	0	0	0	0	0	0
1	110	759	27766	17	540	4	100	0	0	0	0	0	0
1	130	540	21612	94	2505	13	230	0	0	0	0	0	0
1	150	528	19875	53	1512	15	309	0	0	0	0	0	0
1	0	8350	363312	1602	54262	146	3048	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
2	10	266	10963	656	21030	5	30	0	0	0	0	0	0
2	30	1	20	70836	2532471	1413	26303	0	0	0	0	0	0
2	50	410	17787	563	20697	8	134	0	0	0	0	0	0
2	70	284	11934	555	21044	3	68	0	0	0	0	0	0
2	90	41	1336	241	7797	0	0	0	0	0	0	0	0
2	110	1051	45140	2565	94326	27	618	0	0	0	0	0	0
2	130	144	5438	274	8818	2	25	0	0	0	0	0	0
2	150	57	2156	141	5122	0	0	0	0	0	0	0	0
2	170	434	19049	429	15300	1	11	0	0	0	0	0	0
2	190	611	22510	8237	294447	34	629	0	0	0	0	0	0
2	210	67	2671	1540	55815	20	353	0	0	0	0	0	0
2	230	46	1618	498	20594	2	30	0	0	0	0	0	0
2	250	1051	45467	4491	161870	11	208	0	0	0	0	0	0
2	270	232	9750	1818	72455	2	25	0	0	0	0	0	0
2	290	7	270	651	22945	1	25	0	0	0	0	0	0
2	310	298	10777	106	3481	15	297	0	0	0	0	0	0
2	0	5000	206886	93601	3358212	1544	28756	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
3	10	29	553	1	30	0	0	0	0	0	0	0	0
3	30	906	38920	1458	48986	28	685	0	0	0	0	0	0
3	50	377	10610	131	3114	153	2538	0	0	0	0	0	0
3	70	15	310	0	0	0	0	0	0	0	0	0	0
3	90	339	14062	37	677	0	0	0	0	0	0	0	0
3	110	1566	64475	41	960	0	0	0	0	0	0	0	0
3	130	937	38721	78	3865	11	370	0	0	0	0	0	0
