state_redcross	pop1930	fips	county_redcross	flooded_acres	pop_affected	agricultural_flooded_acres	pop_cared	families_aided	expenditures	flag	Additional Notes
Arkansa	22300	5001	ARKANSA	300000	5000	40000	2995	542	14180.35		
Arkansa	25151	5003	ASHLEY	150000	10756	51850	11219	704	45584.9		
Arkansa	9519	5005	BAXTER								
Arkansa	35253	5007	BENTON								
Arkansa	14937	5009	BOONE								
Arkansa	17494	5011	BRADLEY	5000	387	2400	773		5195.02		
Arkansa	9752	5013	CALHOUN		250	7000				1	
Arkansa	15820	5015	CARROLL								
Arkansa	22646	5017	CHICOT	345000	20423	89000	15652	4416	414105.9		
Arkansa	24932	5019	CLARK	180000	2000	21000	50				
Arkansa	27278	5021	CLAY	25000	5000	20000	953	192	9550.92		
Arkansa	11373	5023	CLEBURN		1250	7000				1	
Arkansa	12744	5025	CLEVELA		450	2500				1	
Arkansa	27320	5027	COLUMBI								
Arkansa	21949	5029	CONWAY	78000	5061	63000		786	72446.87		
Arkansa	44740	5031	CRAIGHE	64500	7000	35000	1212	1531	40292.69		
Arkansa	22549	5033	CRAWFOR	38000	3000	33580	725	337	8112.46		
Arkansa	39717	5035	CRITTEN	67000	9300	47000	225	258	228135.76		Includes expenditures of So. Crittenden and St. Francis Counties
Arkansa	25723	5037	CROSS	131840	8500	46301	8005	1500	43030.17		Includes Expenditures of No. Crittenden and Cross Counties
Arkansa	14671	5039	DALLAS		675	4000				1	
Arkansa	21814	5041	DESHA	478080	25684	80000	21276	3542	749905.65		Includes Arkansas City
Arkansa	19928	5043	DREW	18560	3000	15000	4750	68	18775.9		
Arkansa	28381	5045	FAULKNE	83328	2117	36162	1262	423	30735.4		
Arkansa	15762	5047	FRANKLI		200	3500			59	1	
Arkansa	10834	5049	FULTON								
Arkansa	36031	5051	GARLAND		1000	10000				1	
Arkansa	9834	5053	GRANT								
Arkansa	26127	5055	GREENE	17000	2218	13000		37	3		
Arkansa	30847	5057	HEMPSTE	29440	369	3226		72	264.32		
Arkansa	18105	5059	HOT SPR		1100	7000					
Arkansa	17489	5061	HOWARD								
Arkansa	24225	5063	INDEPEN	40000	2500	35000	700	400	15660.15		
Arkansa	12872	5065	IZARD	25600	800	3600					
Arkansa	27943	5067	JACKSON	90000	5000	30000	1056	332	25114.73		
Arkansa	64154	5069	JEFFERS	371587	42231	134710	10957	2297	202050.4		Includes Expenditures of Jefferson and Lincoln Counties
Arkansa	19289	5071	JOHNSON	25000	3500	20000		241	8124.39		
Arkansa	16934	5073	LAFAYET	86400	2700	42000		18			
Arkansa	21663	5075	LAWRENC	170600	10800	81000	5384	1168	34032.42		
Arkansa	26637	5077	LEE	200000	15000	65000	10487	2000	327641.93		
Arkansa	20250	5079	LINCOLN	159000	5000	28894	1825	433			Included in Expenditures for Jefferson County
Arkansa	15515	5081	LITTLE	0	2000	15000				1	
Arkansa	24110	5083	LOGAN	35000	4000	26000	660	524	14779.41		
Arkansa	33759	5085	LONOKE	120000	7500	75000	2000	302	23281.22		
Arkansa	13334	5087	MADISON								
Arkansa	8876	5089	MARION								
Arkansa	30586	5091	MILLER	30000	135	1000		10			
Arkansa	69289	5093	MISSISS	200000	16900	95000	13572	3398	167755.65		
Arkansa	20651	5095	MONROE	256000	13376	64000	7430	1515	106296.27		
Arkansa	10768	5097	MONTGOM		1373	16000				1	
Arkansa	20407	5099	NEVADA								
Arkansa	10564	5101	NEWTON								
Arkansa	29890	5103	OUACHIT		125	9600	0	0		1	
Arkansa	7695	5105	PERRY	35000	2000	25000	0	135	5087.35		
Arkansa	40683	5107	PHILLIP	255520	19596	124600	17397	2409	401474.34		
Arkansa	11792	5109	PIKE								
Arkansa	29695	5111	POINSET	150000	18000	70000	13064	2942	134369.72		
Arkansa	14857	5113	POLK								
Arkansa	26547	5115	POPE	30000	2500	23000	247	370	24292.7		
Arkansa	15187	5117	PRAIRIE	85120	4450	28805	3532	841	48234.12		
Arkansa	137727	5119	PULASKI	150000	25000	56000	17270	3557	116536.45		
Arkansa	16871	5121	RANDOLP	122400	5140	70000		586	27521.88		
Arkansa	33394	5123	ST FRAN	185000	17000	71439	23217	1816			Expenditures included in Crittenden County; A portion of the persons given emergency aid from from other counties
Arkansa	15660	5125	SALINE		2000	25000				1	
Arkansa	11803	5127	SCOTT								
Arkansa	11056	5129	SEARCY								
Arkansa	54426	5131	SEBASTI	21760	5000	15639	3542	419	12650.2		
Arkansa	16364	5133	SEVIER								
Arkansa	10715	5135	SHARP								
Arkansa	7993	5137	STONE								
